# time_in_ns	dG_in_kT
0.000	0.000000
0.010	20.000000
0.020	40.000000
0.030	40.000000
0.040	40.000000
0.050	40.000000
0.060	40.000000
0.070	40.000000
0.080	40.000000
0.090	40.000000
0.100	40.000000
0.110	40.000000
0.120	40.000000
0.130	40.000000
0.140	40.000000
0.150	40.000000
0.160	10.000000
0.170	-20.000000
0.180	-70.000000
0.190	-90.000000
0.200	-90.000000
0.210	-90.000000
0.220	-90.000000
0.230	-90.000000
0.240	-90.000000
0.250	-90.000000
0.260	-90.000000
0.270	-90.000000
0.280	-90.000000
0.290	-90.000000
0.300	-90.000000
0.310	-70.000000
0.320	-40.000000
0.330	0.000000
0.340	40.000000
0.350	40.000000
0.360	40.000000
0.370	40.000000
0.380	40.000000
0.390	40.000000
0.400	40.000000
0.410	40.000000
0.420	40.000000
0.430	40.000000
0.440	40.000000
0.450	40.000000
0.460	40.000000
0.470	40.000000
0.480	5.000000
0.490	5.000000
0.500	-25.000000
0.510	-25.000000
0.520	-25.000000
0.530	-25.000000
0.540	-25.000000
0.550	-25.000000
0.560	-25.000000
0.570	-25.000000
0.580	-25.000000
0.590	-25.000000
0.600	-25.000000
0.610	-25.000000
0.620	-25.000000
0.630	-25.000000
0.640	-25.000000
0.650	-25.000000
0.660	-25.000000
0.670	-45.000000
0.680	-60.000000
0.690	-60.000000
0.700	-60.000000
0.710	-60.000000
0.720	-60.000000
0.730	-60.000000
0.740	-60.000000
0.750	-60.000000
0.760	-60.000000
0.770	-60.000000
0.780	-60.000000
0.790	-60.000000
0.800	-60.000000
0.810	-60.000000
0.820	-60.000000
0.830	-60.000000
0.840	-40.000000
0.850	-40.000000
0.860	-40.000000
0.870	-40.000000
0.880	-35.000000
0.890	15.000000
0.900	30.000000
0.910	30.000000
0.920	30.000000
0.930	30.000000
0.940	30.000000
0.950	30.000000
0.960	30.000000
0.970	30.000000
0.980	30.000000
0.990	30.000000
1.000	30.000000
1.010	45.000000
1.020	57.500000
1.030	57.500000
1.040	57.500000
1.050	57.500000
1.060	57.500000
1.070	57.500000
1.080	57.500000
1.090	57.500000
1.100	57.500000
1.110	45.000000
1.120	35.000000
1.130	22.500000
1.140	20.000000
1.150	2.500000
1.160	2.500000
1.170	2.500000
1.180	2.500000
1.190	-7.500000
1.200	-15.000000
1.210	-15.000000
1.220	-15.000000
1.230	-15.000000
1.240	-15.000000
1.250	-22.500000
1.260	-22.500000
1.270	-35.000000
1.280	-37.500000
1.290	-37.500000
1.300	-37.500000
1.310	-37.500000
1.320	-37.500000
1.330	-37.500000
1.340	-37.500000
1.350	-37.500000
1.360	-37.500000
1.370	-37.500000
1.380	-37.500000
1.390	-25.000000
1.400	-25.000000
1.410	-22.500000
1.420	-5.000000
1.430	-2.500000
1.440	-2.500000
1.450	-2.500000
1.460	-2.500000
1.470	-2.500000
1.480	-2.500000
1.490	-2.500000
1.500	-2.500000
1.510	-2.500000
1.520	-2.500000
1.530	-2.500000
1.540	-2.500000
1.550	-2.500000
1.560	-2.500000
1.570	-2.500000
1.580	7.500000
1.590	22.500000
1.600	22.500000
1.610	22.500000
1.620	22.500000
1.630	22.500000
1.640	22.500000
1.650	22.500000
1.660	22.500000
1.670	22.500000
1.680	22.500000
1.690	20.000000
1.700	10.000000
1.710	10.000000
1.720	10.000000
1.730	0.000000
1.740	0.000000
1.750	0.000000
1.760	0.000000
1.770	0.000000
1.780	0.000000
1.790	0.000000
1.800	0.000000
1.810	0.000000
1.820	0.000000
1.830	0.000000
1.840	0.000000
1.850	0.000000
1.860	0.000000
1.870	0.000000
1.880	0.000000
1.890	0.000000
1.900	0.000000
1.910	0.000000
1.920	0.000000
1.930	0.000000
1.940	0.000000
1.950	0.000000
1.960	0.000000
1.970	0.000000
1.980	0.000000
1.990	0.000000
2.000	0.000000
2.010	0.000000
2.020	0.000000
2.030	-7.500000
2.040	-7.500000
2.050	-13.750000
2.060	-18.750000
2.070	-18.750000
2.080	-18.750000
2.090	-23.750000
2.100	-27.500000
2.110	-33.750000
2.120	-33.750000
2.130	-33.750000
2.140	-33.750000
2.150	-33.750000
2.160	-33.750000
2.170	-33.750000
2.180	-33.750000
2.190	-33.750000
2.200	-33.750000
2.210	-33.750000
2.220	-33.750000
2.230	-33.750000
2.240	-33.750000
2.250	-33.750000
2.260	-40.000000
2.270	-40.000000
2.280	-40.000000
2.290	-40.000000
2.300	-40.000000
2.310	-40.000000
2.320	-40.000000
2.330	-45.000000
2.340	-45.000000
2.350	-52.500000
2.360	-56.250000
2.370	-56.250000
2.380	-56.250000
2.390	-56.250000
2.400	-56.250000
2.410	-48.750000
2.420	-47.500000
2.430	-47.500000
2.440	-45.000000
2.450	-37.500000
2.460	-37.500000
2.470	-37.500000
2.480	-32.500000
2.490	-31.250000
2.500	-23.750000
2.510	-21.250000
2.520	-21.250000
2.530	-21.250000
2.540	-16.250000
2.550	-16.250000
2.560	-16.250000
2.570	-13.750000
2.580	-13.750000
2.590	-13.750000
2.600	-13.750000
2.610	-13.750000
2.620	-13.750000
2.630	-13.750000
2.640	-13.750000
2.650	-13.750000
2.660	-8.750000
2.670	-1.250000
2.680	0.000000
2.690	0.000000
2.700	0.000000
2.710	0.000000
2.720	0.000000
2.730	0.000000
2.740	0.000000
2.750	0.000000
2.760	0.000000
2.770	0.000000
2.780	0.000000
2.790	0.000000
2.800	0.000000
2.810	0.000000
2.820	0.000000
2.830	0.000000
2.840	0.000000
2.850	0.000000
2.860	0.000000
2.870	0.000000
2.880	0.000000
2.890	0.000000
2.900	0.000000
2.910	0.000000
2.920	0.000000
2.930	0.000000
2.940	0.000000
2.950	0.000000
2.960	0.000000
2.970	0.000000
2.980	0.000000
2.990	0.000000
3.000	0.000000
3.010	0.000000
3.020	0.000000
3.030	0.000000
3.040	0.000000
3.050	0.000000
3.060	0.000000
3.070	0.000000
3.080	0.000000
3.090	0.000000
3.100	0.000000
3.110	-1.250000
3.120	-3.125000
3.130	-3.125000
3.140	-3.125000
3.150	-3.125000
3.160	-3.125000
3.170	-3.125000
3.180	-3.125000
3.190	-3.125000
3.200	-6.875000
3.210	-6.875000
3.220	-6.875000
3.230	-6.875000
3.240	-10.625000
3.250	-13.125000
3.260	-16.250000
3.270	-16.250000
3.280	-16.250000
3.290	-16.250000
3.300	-16.250000
3.310	-16.250000
3.320	-16.250000
3.330	-16.250000
3.340	-16.250000
3.350	-16.250000
3.360	-16.250000
3.370	-11.250000
3.380	-7.500000
3.390	-5.625000
3.400	-5.625000
3.410	-5.625000
3.420	-5.625000
3.430	-5.625000
3.440	-5.625000
3.450	-5.625000
3.460	-5.625000
3.470	-5.625000
3.480	-5.625000
3.490	-5.625000
3.500	-5.625000
3.510	-5.625000
3.520	-5.625000
3.530	-5.625000
3.540	-5.625000
3.550	-7.500000
3.560	-9.375000
3.570	-9.375000
3.580	-9.375000
3.590	-9.375000
3.600	-9.375000
3.610	-9.375000
3.620	-9.375000
3.630	-9.375000
3.640	-6.250000
3.650	-3.750000
3.660	-3.750000
3.670	-3.750000
3.680	-3.750000
3.690	-3.750000
3.700	-3.750000
3.710	-3.750000
3.720	-3.750000
3.730	-1.250000
3.740	-1.250000
3.750	-0.625000
3.760	3.125000
3.770	4.375000
3.780	4.375000
3.790	4.375000
3.800	4.375000
3.810	4.375000
3.820	4.375000
3.830	4.375000
3.840	4.375000
3.850	4.375000
3.860	4.375000
3.870	4.375000
3.880	4.375000
3.890	4.375000
3.900	4.375000
3.910	4.375000
3.920	4.375000
3.930	4.375000
3.940	4.375000
3.950	4.375000
3.960	4.375000
3.970	4.375000
3.980	4.375000
3.990	4.375000
4.000	4.375000
4.010	4.375000
4.020	4.375000
4.030	4.375000
4.040	4.375000
4.050	3.125000
4.060	3.125000
4.070	1.562500
4.080	1.562500
4.090	1.562500
4.100	1.562500
4.110	1.562500
4.120	1.562500
4.130	1.562500
4.140	1.562500
4.150	1.562500
4.160	1.562500
4.170	1.562500
4.180	1.562500
4.190	1.562500
4.200	1.562500
4.210	1.562500
4.220	1.562500
4.230	-0.312500
4.240	-2.187500
4.250	-2.812500
4.260	-3.125000
4.270	-5.000000
4.280	-5.625000
4.290	-5.625000
4.300	-7.500000
4.310	-7.500000
4.320	-7.500000
4.330	-7.500000
4.340	-7.500000
4.350	-7.500000
4.360	-7.500000
4.370	-7.500000
4.380	-7.500000
4.390	-7.500000
4.400	-7.500000
4.410	-7.500000
4.420	-7.500000
4.430	-7.500000
4.440	-7.500000
4.450	-7.500000
4.460	-7.500000
4.470	-7.500000
4.480	-7.500000
4.490	-7.500000
4.500	-7.500000
4.510	-7.500000
4.520	-7.500000
4.530	-7.500000
4.540	-7.500000
4.550	-7.500000
4.560	-6.875000
4.570	-4.687500
4.580	-4.687500
4.590	-4.375000
4.600	-4.375000
4.610	-4.375000
4.620	-4.375000
4.630	-4.375000
4.640	-1.562500
4.650	-0.312500
4.660	-0.312500
4.670	2.187500
4.680	2.187500
4.690	2.187500
4.700	2.187500
4.710	2.187500
4.720	2.187500
4.730	2.187500
4.740	2.187500
4.750	2.187500
4.760	2.187500
4.770	2.187500
4.780	2.187500
4.790	2.187500
4.800	2.187500
4.810	2.187500
4.820	2.187500
4.830	2.187500
4.840	2.187500
