# time_in_ns	dG_in_kT
3.400	1.250000
3.410	1.250000
3.420	1.250000
3.430	1.250000
3.440	1.250000
3.450	1.250000
3.460	1.250000
3.470	1.250000
3.480	1.250000
3.490	1.250000
3.500	1.250000
3.510	1.250000
3.520	1.250000
3.530	1.250000
3.540	1.250000
3.550	1.250000
3.560	1.250000
3.570	1.250000
3.580	1.250000
3.590	11.250000
3.600	16.250000
3.610	23.750000
3.620	23.750000
3.630	23.750000
3.640	23.750000
3.650	23.750000
3.660	23.750000
3.670	23.750000
3.680	23.750000
3.690	23.750000
3.700	23.750000
3.710	23.750000
3.720	23.750000
3.730	23.750000
3.740	23.750000
3.750	21.250000
3.760	13.750000
3.770	11.250000
3.780	7.500000
3.790	5.000000
3.800	5.000000
3.810	-1.250000
3.820	-11.250000
3.830	-11.250000
3.840	-11.250000
3.850	-11.250000
3.860	-11.250000
3.870	-11.250000
3.880	-11.250000
3.890	-11.250000
3.900	-11.250000
3.910	-11.250000
3.920	-11.250000
3.930	-11.250000
3.940	-11.250000
3.950	-11.250000
3.960	-11.250000
3.970	-11.250000
3.980	-11.250000
3.990	-11.250000
4.000	-11.250000
4.010	-11.250000
4.020	-11.250000
4.030	-11.250000
4.040	-11.250000
4.050	-11.250000
4.060	-11.250000
4.070	-11.250000
4.080	-11.250000
4.090	-11.250000
4.100	-11.250000
4.110	-11.250000
4.120	-11.250000
4.130	-11.250000
4.140	-11.250000
4.150	-11.250000
4.160	-9.375000
4.170	-5.625000
4.180	-5.625000
4.190	-5.625000
4.200	-5.625000
4.210	-5.625000
4.220	-5.625000
4.230	-5.625000
4.240	-5.625000
4.250	-5.625000
4.260	-5.625000
4.270	-5.625000
4.280	-5.625000
4.290	-5.625000
4.300	-5.625000
4.310	-5.625000
4.320	-5.625000
4.330	-3.125000
4.340	-0.625000
4.350	0.625000
4.360	0.625000
4.370	0.625000
4.380	5.000000
4.390	5.000000
4.400	5.000000
4.410	5.000000
4.420	5.000000
4.430	5.000000
4.440	5.000000
4.450	5.000000
4.460	5.000000
4.470	3.125000
4.480	3.125000
4.490	3.125000
4.500	0.625000
4.510	-3.750000
4.520	-3.750000
4.530	-3.750000
4.540	-3.750000
4.550	-3.750000
4.560	-3.750000
4.570	-3.750000
4.580	-3.750000
4.590	-3.750000
4.600	-3.750000
4.610	-3.750000
4.620	-4.375000
4.630	-6.875000
4.640	-10.000000
4.650	-10.000000
4.660	-10.625000
4.670	-10.625000
4.680	-10.625000
4.690	-10.625000
4.700	-10.625000
4.710	-10.625000
4.720	-10.625000
4.730	-10.625000
4.740	-10.625000
4.750	-10.625000
4.760	-10.625000
4.770	-10.625000
4.780	-10.625000
4.790	-10.625000
4.800	-10.625000
4.810	-10.625000
4.820	-10.625000
4.830	-10.625000
4.840	-10.625000
4.850	-10.625000
4.860	-10.625000
4.870	-10.625000
4.880	-10.625000
4.890	-10.625000
4.900	-10.625000
4.910	-10.625000
4.920	-10.625000
4.930	-10.625000
4.940	-10.625000
4.950	-10.625000
4.960	-10.625000
4.970	-10.625000
4.980	-10.625000
4.990	-10.625000
5.000	-10.625000
5.010	-10.625000
5.020	-10.312500
5.030	-10.000000
5.040	-10.000000
5.050	-8.750000
5.060	-8.750000
5.070	-8.750000
5.080	-6.875000
5.090	-5.937500
5.100	-5.937500
5.110	-5.000000
5.120	-4.687500
5.130	-4.687500
5.140	-4.687500
5.150	-4.687500
5.160	-3.437500
5.170	-3.437500
5.180	-3.437500
5.190	-3.437500
5.200	-3.437500
5.210	-3.437500
5.220	-3.437500
5.230	-3.437500
5.240	-3.437500
5.250	-3.437500
5.260	-3.437500
5.270	-3.437500
5.280	-3.437500
5.290	-3.437500
5.300	-3.437500
5.310	-3.437500
5.320	-3.437500
5.330	-3.437500
5.340	-2.500000
5.350	0.000000
5.360	0.937500
5.370	0.937500
5.380	0.937500
5.390	0.937500
5.400	0.937500
5.410	0.937500
5.420	2.187500
5.430	3.125000
5.440	5.312500
5.450	5.312500
5.460	5.625000
5.470	6.250000
5.480	6.250000
5.490	6.250000
5.500	6.250000
5.510	6.250000
5.520	6.250000
5.530	6.250000
5.540	6.250000
5.550	6.250000
5.560	6.250000
5.570	6.250000
5.580	6.250000
5.590	6.250000
5.600	6.250000
5.610	6.250000
5.620	6.250000
5.630	6.250000
5.640	6.250000
5.650	6.250000
5.660	6.250000
5.670	6.250000
5.680	6.250000
5.690	6.250000
5.700	5.937500
5.710	3.125000
5.720	1.875000
5.730	1.875000
5.740	1.875000
5.750	0.937500
5.760	0.937500
5.770	0.937500
5.780	0.937500
5.790	0.937500
5.800	0.937500
5.810	0.937500
5.820	0.937500
5.830	0.937500
5.840	0.937500
5.850	0.937500
5.860	0.937500
5.870	0.937500
5.880	0.937500
5.890	0.937500
5.900	0.937500
5.910	0.937500
5.920	0.937500
5.930	0.937500
5.940	0.937500
5.950	0.937500
5.960	2.812500
5.970	3.125000
5.980	4.687500
5.990	5.312500
6.000	5.312500
6.010	5.312500
6.020	5.312500
6.030	5.312500
6.040	5.312500
6.050	5.312500
6.060	5.312500
6.070	5.312500
6.080	5.312500
6.090	5.312500
6.100	5.312500
6.110	5.312500
6.120	5.312500
6.130	5.312500
6.140	5.312500
6.150	3.125000
6.160	2.500000
6.170	2.500000
6.180	2.500000
6.190	2.187500
6.200	1.250000
6.210	-1.562500
6.220	-3.125000
6.230	-3.125000
6.240	-3.125000
6.250	-3.125000
6.260	-3.125000
6.270	-3.125000
6.280	-3.125000
6.290	-3.750000
6.300	-5.312500
6.310	-5.937500
6.320	-5.937500
6.330	-5.937500
6.340	-5.937500
6.350	-5.937500
6.360	-5.937500
6.370	-5.937500
6.380	-5.937500
6.390	-5.937500
6.400	-5.937500
6.410	-5.937500
6.420	-5.937500
6.430	-5.937500
6.440	-5.937500
6.450	-5.937500
6.460	-5.937500
6.470	-5.937500
6.480	-5.937500
6.490	-5.937500
6.500	-5.937500
6.510	-5.937500
6.520	-5.625000
6.530	-4.375000
6.540	-3.281250
6.550	-2.812500
6.560	-2.812500
6.570	-2.812500
6.580	-2.812500
6.590	-2.812500
6.600	-2.812500
6.610	-2.812500
6.620	-2.812500
6.630	-2.812500
6.640	-2.812500
6.650	-2.812500
6.660	-2.812500
6.670	-2.812500
6.680	-2.812500
6.690	-2.812500
6.700	-2.812500
6.710	-2.812500
6.720	-2.812500
6.730	-2.812500
6.740	-2.812500
6.750	-2.812500
6.760	-2.812500
6.770	-2.812500
6.780	-2.812500
6.790	-2.812500
6.800	-2.812500
6.810	-2.812500
6.820	-2.812500
6.830	-2.187500
6.840	-1.718750
6.850	-1.718750
6.860	-1.718750
6.870	-1.250000
6.880	-1.250000
6.890	-1.250000
6.900	-1.250000
6.910	-1.250000
6.920	-1.093750
6.930	-1.093750
6.940	-1.093750
6.950	-1.093750
6.960	-1.093750
6.970	-1.093750
6.980	-1.093750
6.990	-1.093750
7.000	-1.093750
7.010	-1.093750
7.020	-1.093750
7.030	-1.093750
7.040	-1.093750
7.050	-1.093750
7.060	-1.093750
7.070	-1.093750
7.080	-1.093750
7.090	-1.093750
7.100	-1.093750
7.110	-1.093750
7.120	-1.093750
7.130	-1.093750
7.140	-2.187500
7.150	-2.656250
7.160	-3.437500
7.170	-3.906250
7.180	-4.375000
7.190	-4.375000
7.200	-4.375000
7.210	-4.375000
7.220	-4.375000
7.230	-5.000000
7.240	-5.937500
7.250	-5.937500
7.260	-5.937500
7.270	-5.937500
7.280	-5.937500
7.290	-5.937500
7.300	-5.937500
7.310	-5.937500
7.320	-5.937500
7.330	-5.937500
7.340	-5.937500
7.350	-5.937500
7.360	-5.937500
7.370	-5.937500
7.380	-5.937500
7.390	-5.937500
7.400	-5.937500
7.410	-5.937500
7.420	-6.406250
7.430	-6.406250
7.440	-6.406250
7.450	-6.406250
7.460	-6.406250
7.470	-6.406250
7.480	-6.406250
7.490	-7.031250
7.500	-7.421880
7.510	-7.656250
7.520	-8.046880
