# time_in_ns	dG_in_kT
0.000	0.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	10.000000
0.050	10.000000
0.060	10.000000
0.070	10.000000
0.080	10.000000
0.090	40.000000
0.100	90.000000
0.110	90.000000
0.120	100.000000
0.130	140.000000
0.140	140.000000
0.150	140.000000
0.160	140.000000
0.170	140.000000
0.180	120.000000
0.190	90.000000
0.200	90.000000
0.210	90.000000
0.220	90.000000
0.230	90.000000
0.240	90.000000
0.250	90.000000
0.260	90.000000
0.270	90.000000
0.280	90.000000
0.290	90.000000
0.300	90.000000
0.310	50.000000
0.320	50.000000
0.330	50.000000
0.340	50.000000
0.350	50.000000
0.360	50.000000
0.370	50.000000
0.380	10.000000
0.390	-10.000000
0.400	-10.000000
0.410	-10.000000
0.420	-10.000000
0.430	-10.000000
0.440	-10.000000
0.450	-10.000000
0.460	-10.000000
0.470	-10.000000
0.480	-10.000000
0.490	-10.000000
0.500	-10.000000
0.510	-10.000000
0.520	-10.000000
0.530	-10.000000
0.540	-10.000000
0.550	-10.000000
0.560	-10.000000
0.570	-10.000000
0.580	-10.000000
0.590	-10.000000
0.600	-10.000000
0.610	15.000000
0.620	30.000000
0.630	30.000000
0.640	30.000000
0.650	30.000000
0.660	30.000000
0.670	30.000000
0.680	30.000000
0.690	30.000000
0.700	30.000000
0.710	30.000000
0.720	30.000000
0.730	30.000000
0.740	20.000000
0.750	-15.000000
0.760	-15.000000
0.770	-15.000000
0.780	-15.000000
0.790	-30.000000
0.800	-30.000000
0.810	-30.000000
0.820	-30.000000
0.830	-30.000000
0.840	-30.000000
0.850	-30.000000
0.860	-15.000000
0.870	10.000000
0.880	10.000000
0.890	10.000000
0.900	10.000000
0.910	10.000000
0.920	10.000000
0.930	10.000000
0.940	10.000000
0.950	10.000000
0.960	10.000000
0.970	10.000000
0.980	0.000000
0.990	-7.500000
1.000	-25.000000
1.010	-25.000000
1.020	-25.000000
1.030	-25.000000
1.040	-25.000000
1.050	-25.000000
1.060	-25.000000
1.070	-25.000000
1.080	-25.000000
1.090	-25.000000
1.100	-25.000000
1.110	-25.000000
1.120	-25.000000
1.130	-30.000000
1.140	-47.500000
1.150	-55.000000
1.160	-55.000000
1.170	-55.000000
1.180	-55.000000
1.190	-55.000000
1.200	-55.000000
1.210	-55.000000
1.220	-55.000000
1.230	-55.000000
1.240	-55.000000
1.250	-55.000000
1.260	-55.000000
1.270	-55.000000
1.280	-55.000000
1.290	-45.000000
1.300	-25.000000
1.310	-10.000000
1.320	-10.000000
1.330	-10.000000
1.340	2.500000
1.350	2.500000
1.360	2.500000
1.370	2.500000
1.380	2.500000
1.390	2.500000
1.400	2.500000
1.410	2.500000
1.420	2.500000
1.430	2.500000
1.440	2.500000
1.450	2.500000
1.460	2.500000
1.470	2.500000
1.480	10.000000
1.490	21.250000
1.500	21.250000
1.510	21.250000
1.520	21.250000
1.530	21.250000
1.540	21.250000
1.550	21.250000
1.560	21.250000
1.570	21.250000
1.580	21.250000
1.590	21.250000
1.600	21.250000
1.610	12.500000
1.620	8.750000
1.630	7.500000
1.640	2.500000
1.650	-1.250000
1.660	-3.750000
1.670	-3.750000
1.680	-3.750000
1.690	-3.750000
1.700	-3.750000
1.710	-3.750000
1.720	-3.750000
1.730	-3.750000
1.740	-3.750000
1.750	-3.750000
1.760	-3.750000
1.770	-1.250000
1.780	2.500000
1.790	2.500000
1.800	2.500000
1.810	2.500000
1.820	2.500000
1.830	2.500000
1.840	2.500000
1.850	2.500000
1.860	2.500000
1.870	-1.250000
1.880	-3.750000
1.890	-3.750000
1.900	-11.250000
1.910	-11.250000
1.920	-11.250000
1.930	-11.250000
1.940	-11.250000
1.950	-11.250000
1.960	-11.250000
1.970	-11.250000
1.980	-11.250000
1.990	-11.250000
2.000	-11.250000
2.010	-17.500000
2.020	-20.000000
2.030	-20.000000
2.040	-20.000000
2.050	-20.000000
2.060	-20.000000
2.070	-20.000000
2.080	-20.000000
2.090	-16.250000
2.100	-11.250000
2.110	-7.500000
2.120	-6.250000
2.130	-6.250000
2.140	-6.250000
2.150	-6.250000
2.160	-6.250000
2.170	-6.250000
2.180	-6.250000
2.190	-6.250000
2.200	-6.250000
2.210	-6.250000
2.220	-6.250000
2.230	-6.250000
2.240	-6.250000
2.250	-6.250000
2.260	-8.750000
2.270	-13.750000
2.280	-13.750000
2.290	-18.750000
2.300	-18.750000
2.310	-18.750000
2.320	-18.750000
2.330	-18.750000
2.340	-18.750000
2.350	-18.750000
2.360	-18.750000
2.370	-18.750000
2.380	-18.750000
2.390	-11.250000
2.400	-11.250000
2.410	-11.250000
2.420	-11.250000
2.430	-11.250000
2.440	-11.250000
2.450	-11.250000
2.460	-11.250000
2.470	-11.250000
2.480	-11.250000
2.490	-11.250000
2.500	-11.250000
2.510	-11.250000
2.520	-11.250000
