# time_in_ns	dG_in_kT
0.000	0.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	10.000000
0.050	10.000000
0.060	10.000000
0.070	10.000000
0.080	10.000000
0.090	10.000000
0.100	10.000000
0.110	-20.000000
0.120	-20.000000
0.130	-20.000000
0.140	-20.000000
0.150	-20.000000
0.160	-20.000000
0.170	-20.000000
0.180	-20.000000
0.190	-20.000000
0.200	-20.000000
0.210	-20.000000
0.220	40.000000
0.230	70.000000
0.240	100.000000
0.250	100.000000
0.260	100.000000
0.270	100.000000
0.280	100.000000
0.290	100.000000
0.300	100.000000
0.310	100.000000
0.320	100.000000
0.330	100.000000
0.340	70.000000
0.350	10.000000
0.360	10.000000
0.370	10.000000
0.380	10.000000
0.390	-5.000000
0.400	-5.000000
0.410	-5.000000
0.420	-5.000000
0.430	-5.000000
0.440	-5.000000
0.450	-5.000000
0.460	-10.000000
0.470	-40.000000
0.480	-50.000000
0.490	-50.000000
0.500	-50.000000
0.510	-50.000000
0.520	-50.000000
0.530	-50.000000
0.540	-50.000000
0.550	-70.000000
0.560	-75.000000
0.570	-90.000000
0.580	-90.000000
0.590	-90.000000
0.600	-90.000000
0.610	-90.000000
0.620	-90.000000
0.630	-90.000000
0.640	-65.000000
0.650	-65.000000
0.660	-65.000000
0.670	-65.000000
0.680	-65.000000
0.690	-65.000000
0.700	-65.000000
0.710	-65.000000
0.720	-65.000000
0.730	-40.000000
0.740	-35.000000
0.750	-5.000000
0.760	25.000000
0.770	25.000000
0.780	25.000000
0.790	25.000000
0.800	25.000000
0.810	25.000000
0.820	25.000000
0.830	25.000000
0.840	25.000000
0.850	25.000000
0.860	25.000000
0.870	25.000000
0.880	25.000000
0.890	25.000000
0.900	25.000000
0.910	25.000000
0.920	25.000000
0.930	25.000000
0.940	15.000000
0.950	15.000000
0.960	0.000000
0.970	-15.000000
0.980	-30.000000
0.990	-50.000000
1.000	-50.000000
1.010	-50.000000
1.020	-50.000000
1.030	-50.000000
1.040	-50.000000
1.050	-50.000000
1.060	-50.000000
1.070	-50.000000
1.080	-50.000000
1.090	-50.000000
1.100	-50.000000
1.110	-50.000000
1.120	-50.000000
1.130	-50.000000
1.140	-50.000000
1.150	-50.000000
1.160	-50.000000
1.170	-50.000000
1.180	-50.000000
1.190	-50.000000
1.200	-50.000000
1.210	-50.000000
1.220	-50.000000
1.230	-40.000000
1.240	-27.500000
1.250	-15.000000
1.260	-7.500000
1.270	0.000000
1.280	20.000000
1.290	27.500000
1.300	27.500000
1.310	27.500000
1.320	27.500000
1.330	27.500000
1.340	27.500000
1.350	27.500000
1.360	27.500000
1.370	27.500000
1.380	27.500000
1.390	27.500000
1.400	27.500000
1.410	27.500000
1.420	27.500000
1.430	27.500000
1.440	27.500000
1.450	17.500000
1.460	10.000000
1.470	5.000000
1.480	-2.500000
1.490	-2.500000
1.500	-15.000000
1.510	-15.000000
1.520	-15.000000
1.530	-15.000000
1.540	-15.000000
1.550	-15.000000
1.560	-15.000000
1.570	-15.000000
1.580	-15.000000
1.590	-15.000000
1.600	-15.000000
1.610	-15.000000
1.620	-15.000000
1.630	-15.000000
1.640	-15.000000
1.650	-15.000000
1.660	-12.500000
1.670	-2.500000
1.680	-2.500000
1.690	-2.500000
1.700	-2.500000
1.710	-2.500000
1.720	-2.500000
1.730	-2.500000
1.740	-2.500000
1.750	-2.500000
1.760	-2.500000
1.770	-2.500000
1.780	-2.500000
1.790	-2.500000
1.800	-15.000000
1.810	-15.000000
1.820	-30.000000
1.830	-30.000000
1.840	-30.000000
1.850	-30.000000
1.860	-30.000000
1.870	-30.000000
1.880	-27.500000
1.890	-20.000000
1.900	-17.500000
1.910	-17.500000
1.920	-17.500000
1.930	-17.500000
1.940	-12.500000
1.950	-3.750000
1.960	-2.500000
1.970	-2.500000
1.980	-2.500000
1.990	-2.500000
2.000	-2.500000
2.010	-2.500000
2.020	-2.500000
2.030	-2.500000
2.040	-2.500000
2.050	-2.500000
2.060	-2.500000
2.070	-2.500000
2.080	-2.500000
2.090	-2.500000
2.100	-11.250000
2.110	-11.250000
2.120	-18.750000
2.130	-18.750000
2.140	-18.750000
2.150	-18.750000
2.160	-18.750000
2.170	-18.750000
2.180	-18.750000
2.190	-18.750000
2.200	-18.750000
2.210	-18.750000
2.220	-18.750000
2.230	-13.750000
2.240	-13.750000
2.250	-8.750000
2.260	-8.750000
2.270	-8.750000
2.280	-8.750000
2.290	-8.750000
2.300	-8.750000
2.310	-8.750000
2.320	-8.750000
2.330	-8.750000
2.340	-8.750000
2.350	-8.750000
2.360	-8.750000
2.370	-8.750000
2.380	-8.750000
2.390	-8.750000
2.400	-8.750000
2.410	-12.500000
2.420	-15.000000
2.430	-15.000000
2.440	-22.500000
2.450	-22.500000
2.460	-28.750000
2.470	-28.750000
2.480	-28.750000
