# time_in_ns	dG_in_kT
0.000	0.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	40.000000
0.050	40.000000
0.060	40.000000
0.070	40.000000
0.080	40.000000
0.090	40.000000
0.100	40.000000
0.110	40.000000
0.120	10.000000
0.130	0.000000
0.140	0.000000
0.150	0.000000
0.160	0.000000
0.170	0.000000
0.180	0.000000
0.190	0.000000
0.200	0.000000
0.210	0.000000
0.220	0.000000
0.230	-30.000000
0.240	-60.000000
0.250	-90.000000
0.260	-90.000000
0.270	-90.000000
0.280	-90.000000
0.290	-90.000000
0.300	-90.000000
0.310	-90.000000
0.320	-90.000000
0.330	-90.000000
0.340	-90.000000
0.350	-30.000000
0.360	-10.000000
0.370	-10.000000
0.380	-10.000000
0.390	-10.000000
0.400	-10.000000
0.410	-10.000000
0.420	-10.000000
0.430	-5.000000
0.440	5.000000
0.450	5.000000
0.460	5.000000
0.470	5.000000
0.480	5.000000
0.490	5.000000
0.500	5.000000
0.510	5.000000
0.520	10.000000
0.530	40.000000
0.540	40.000000
0.550	40.000000
0.560	50.000000
0.570	75.000000
0.580	75.000000
0.590	75.000000
0.600	75.000000
0.610	75.000000
0.620	75.000000
0.630	75.000000
0.640	75.000000
0.650	75.000000
0.660	55.000000
0.670	45.000000
0.680	45.000000
0.690	45.000000
0.700	45.000000
0.710	45.000000
0.720	45.000000
0.730	45.000000
0.740	40.000000
0.750	-10.000000
0.760	-10.000000
0.770	-10.000000
0.780	-10.000000
0.790	-10.000000
0.800	-10.000000
0.810	-10.000000
0.820	-10.000000
0.830	-45.000000
0.840	-45.000000
0.850	-45.000000
0.860	-45.000000
0.870	-45.000000
0.880	-45.000000
0.890	-45.000000
0.900	-45.000000
0.910	-45.000000
0.920	-45.000000
0.930	-70.000000
0.940	-70.000000
0.950	-70.000000
0.960	-70.000000
0.970	-70.000000
0.980	-70.000000
0.990	-70.000000
1.000	-70.000000
1.010	-70.000000
1.020	-70.000000
1.030	-62.500000
1.040	-45.000000
1.050	-40.000000
1.060	-40.000000
1.070	-40.000000
1.080	-40.000000
1.090	-40.000000
1.100	-40.000000
1.110	-30.000000
1.120	-30.000000
1.130	-20.000000
1.140	-20.000000
1.150	-20.000000
1.160	-20.000000
1.170	-10.000000
1.180	-10.000000
1.190	-10.000000
1.200	-10.000000
1.210	-10.000000
1.220	0.000000
1.230	15.000000
1.240	20.000000
1.250	20.000000
1.260	20.000000
1.270	20.000000
1.280	20.000000
1.290	20.000000
1.300	20.000000
1.310	20.000000
1.320	20.000000
1.330	20.000000
1.340	20.000000
1.350	20.000000
1.360	20.000000
1.370	20.000000
1.380	20.000000
1.390	7.500000
1.400	5.000000
1.410	5.000000
1.420	5.000000
1.430	5.000000
1.440	5.000000
1.450	-12.500000
1.460	-12.500000
1.470	-12.500000
1.480	-12.500000
1.490	-12.500000
1.500	-12.500000
1.510	-12.500000
1.520	-12.500000
1.530	-12.500000
1.540	-10.000000
1.550	-2.500000
1.560	-2.500000
1.570	-2.500000
1.580	-2.500000
1.590	-2.500000
1.600	-2.500000
1.610	-2.500000
1.620	-2.500000
1.630	-2.500000
1.640	-2.500000
1.650	-2.500000
1.660	7.500000
1.670	7.500000
1.680	7.500000
1.690	15.000000
1.700	15.000000
1.710	15.000000
1.720	15.000000
1.730	15.000000
1.740	15.000000
1.750	15.000000
1.760	15.000000
1.770	15.000000
1.780	25.000000
1.790	42.500000
1.800	42.500000
1.810	42.500000
1.820	42.500000
1.830	42.500000
1.840	42.500000
1.850	42.500000
1.860	22.500000
1.870	5.000000
1.880	5.000000
1.890	5.000000
1.900	5.000000
1.910	0.000000
1.920	0.000000
1.930	0.000000
1.940	0.000000
1.950	0.000000
1.960	0.000000
1.970	0.000000
1.980	0.000000
1.990	0.000000
2.000	0.000000
2.010	0.000000
2.020	0.000000
2.030	-7.500000
2.040	-10.000000
2.050	-10.000000
2.060	-10.000000
2.070	-10.000000
2.080	-10.000000
2.090	-10.000000
2.100	-10.000000
2.110	-10.000000
2.120	-10.000000
2.130	-10.000000
2.140	-10.000000
2.150	-10.000000
2.160	-10.000000
2.170	-10.000000
2.180	-1.250000
2.190	3.750000
2.200	6.250000
2.210	6.250000
2.220	6.250000
2.230	6.250000
2.240	6.250000
2.250	6.250000
2.260	6.250000
2.270	6.250000
2.280	6.250000
2.290	6.250000
2.300	6.250000
2.310	6.250000
2.320	6.250000
2.330	6.250000
2.340	6.250000
2.350	6.250000
2.360	6.250000
2.370	6.250000
2.380	6.250000
2.390	10.000000
2.400	10.000000
2.410	10.000000
2.420	10.000000
2.430	12.500000
2.440	16.250000
2.450	22.500000
2.460	22.500000
2.470	22.500000
2.480	22.500000
2.490	22.500000
2.500	22.500000
2.510	18.750000
2.520	8.750000
2.530	8.750000
2.540	8.750000
2.550	8.750000
2.560	8.750000
2.570	1.250000
