# time_in_ns	dG_in_kT
0.000	0.000000
0.010	20.000000
0.020	20.000000
0.030	20.000000
0.040	20.000000
0.050	20.000000
0.060	50.000000
0.070	90.000000
0.080	90.000000
0.090	90.000000
0.100	90.000000
0.110	110.000000
0.120	140.000000
0.130	140.000000
0.140	150.000000
0.150	180.000000
0.160	180.000000
0.170	180.000000
0.180	180.000000
0.190	180.000000
0.200	180.000000
0.210	180.000000
0.220	180.000000
0.230	180.000000
0.240	180.000000
0.250	180.000000
0.260	180.000000
0.270	180.000000
0.280	180.000000
0.290	180.000000
0.300	180.000000
0.310	180.000000
0.320	180.000000
0.330	180.000000
0.340	180.000000
0.350	180.000000
0.360	180.000000
0.370	180.000000
0.380	180.000000
0.390	180.000000
0.400	180.000000
0.410	180.000000
0.420	180.000000
0.430	180.000000
0.440	180.000000
0.450	180.000000
0.460	180.000000
0.470	180.000000
0.480	180.000000
0.490	180.000000
0.500	180.000000
0.510	180.000000
0.520	180.000000
0.530	180.000000
0.540	180.000000
0.550	180.000000
0.560	180.000000
0.570	180.000000
0.580	180.000000
0.590	180.000000
0.600	180.000000
0.610	180.000000
0.620	180.000000
0.630	180.000000
0.640	180.000000
0.650	180.000000
0.660	180.000000
0.670	180.000000
0.680	180.000000
0.690	180.000000
0.700	180.000000
0.710	180.000000
0.720	180.000000
0.730	180.000000
0.740	180.000000
0.750	180.000000
0.760	180.000000
0.770	140.000000
0.780	140.000000
0.790	140.000000
0.800	140.000000
0.810	140.000000
0.820	140.000000
0.830	140.000000
0.840	140.000000
0.850	140.000000
0.860	80.000000
0.870	80.000000
0.880	80.000000
0.890	80.000000
0.900	80.000000
0.910	80.000000
0.920	80.000000
0.930	80.000000
0.940	80.000000
0.950	40.000000
0.960	10.000000
0.970	0.000000
0.980	-25.000000
0.990	-45.000000
1.000	-45.000000
1.010	-45.000000
1.020	-60.000000
1.030	-60.000000
1.040	-60.000000
1.050	-60.000000
1.060	-60.000000
1.070	-60.000000
1.080	-60.000000
1.090	-60.000000
1.100	-60.000000
1.110	-60.000000
1.120	-60.000000
1.130	-60.000000
1.140	-60.000000
1.150	-60.000000
1.160	-60.000000
1.170	-60.000000
1.180	-60.000000
1.190	-60.000000
1.200	-60.000000
1.210	-60.000000
1.220	-60.000000
1.230	-60.000000
1.240	-60.000000
1.250	-25.000000
1.260	-25.000000
1.270	-25.000000
1.280	-15.000000
1.290	0.000000
1.300	15.000000
1.310	15.000000
1.320	15.000000
1.330	15.000000
1.340	15.000000
1.350	15.000000
1.360	15.000000
1.370	15.000000
1.380	15.000000
1.390	15.000000
1.400	15.000000
1.410	15.000000
1.420	15.000000
1.430	15.000000
1.440	15.000000
1.450	15.000000
1.460	15.000000
1.470	15.000000
1.480	15.000000
1.490	15.000000
1.500	15.000000
1.510	15.000000
1.520	15.000000
1.530	15.000000
1.540	15.000000
1.550	15.000000
1.560	15.000000
1.570	15.000000
1.580	15.000000
1.590	15.000000
1.600	15.000000
1.610	15.000000
1.620	15.000000
1.630	15.000000
1.640	15.000000
1.650	15.000000
1.660	50.000000
1.670	50.000000
1.680	50.000000
1.690	50.000000
1.700	50.000000
1.710	50.000000
1.720	50.000000
1.730	50.000000
1.740	50.000000
1.750	50.000000
1.760	50.000000
1.770	50.000000
1.780	50.000000
1.790	50.000000
1.800	50.000000
1.810	50.000000
1.820	50.000000
1.830	50.000000
1.840	50.000000
1.850	20.000000
1.860	20.000000
1.870	20.000000
1.880	20.000000
1.890	15.000000
1.900	0.000000
1.910	0.000000
1.920	0.000000
1.930	0.000000
1.940	0.000000
1.950	0.000000
1.960	-20.000000
1.970	-45.000000
1.980	-75.000000
1.990	-75.000000
2.000	-75.000000
2.010	-75.000000
2.020	-100.000000
2.030	-115.000000
2.040	-115.000000
2.050	-115.000000
2.060	-115.000000
2.070	-115.000000
2.080	-115.000000
2.090	-115.000000
2.100	-115.000000
2.110	-115.000000
2.120	-115.000000
2.130	-115.000000
2.140	-115.000000
2.150	-115.000000
2.160	-115.000000
2.170	-115.000000
2.180	-115.000000
2.190	-115.000000
2.200	-115.000000
2.210	-115.000000
2.220	-115.000000
2.230	-115.000000
2.240	-115.000000
2.250	-115.000000
2.260	-115.000000
2.270	-115.000000
2.280	-115.000000
2.290	-115.000000
2.300	-115.000000
2.310	-115.000000
2.320	-115.000000
2.330	-115.000000
2.340	-115.000000
2.350	-115.000000
2.360	-115.000000
2.370	-115.000000
2.380	-115.000000
2.390	-115.000000
2.400	-110.000000
2.410	-85.000000
2.420	-70.000000
2.430	-60.000000
2.440	-50.000000
2.450	-30.000000
2.460	-30.000000
2.470	-10.000000
2.480	-10.000000
2.490	-10.000000
2.500	-10.000000
2.510	-10.000000
2.520	-10.000000
2.530	-10.000000
2.540	-10.000000
2.550	-10.000000
2.560	-10.000000
2.570	-10.000000
2.580	-10.000000
2.590	-10.000000
2.600	-10.000000
2.610	-10.000000
2.620	-10.000000
2.630	-10.000000
2.640	-10.000000
2.650	-10.000000
2.660	-10.000000
2.670	-10.000000
2.680	-10.000000
2.690	-10.000000
2.700	-10.000000
2.710	-10.000000
2.720	-10.000000
2.730	-10.000000
2.740	-10.000000
2.750	-10.000000
2.760	-10.000000
2.770	-10.000000
2.780	-10.000000
2.790	-10.000000
2.800	-10.000000
2.810	-10.000000
2.820	-10.000000
2.830	-10.000000
2.840	-10.000000
2.850	-10.000000
2.860	-10.000000
2.870	-10.000000
2.880	-10.000000
2.890	-10.000000
2.900	-10.000000
2.910	-10.000000
2.920	-10.000000
2.930	-10.000000
2.940	-10.000000
2.950	-10.000000
2.960	-10.000000
2.970	-10.000000
2.980	-10.000000
2.990	-10.000000
3.000	-10.000000
3.010	5.000000
3.020	5.000000
3.030	5.000000
3.040	5.000000
3.050	5.000000
3.060	17.500000
3.070	17.500000
3.080	17.500000
3.090	17.500000
3.100	17.500000
3.110	17.500000
3.120	17.500000
3.130	17.500000
3.140	17.500000
3.150	17.500000
3.160	17.500000
3.170	17.500000
3.180	17.500000
3.190	17.500000
3.200	17.500000
3.210	17.500000
3.220	17.500000
3.230	17.500000
3.240	17.500000
3.250	17.500000
3.260	17.500000
3.270	17.500000
3.280	17.500000
3.290	5.000000
3.300	0.000000
3.310	-17.500000
3.320	-17.500000
3.330	-17.500000
3.340	-17.500000
3.350	-17.500000
3.360	-17.500000
3.370	-17.500000
3.380	-17.500000
3.390	-17.500000
3.400	-17.500000
3.410	-17.500000
3.420	-17.500000
3.430	-17.500000
3.440	-17.500000
3.450	-17.500000
3.460	-17.500000
3.470	-17.500000
3.480	-17.500000
3.490	-17.500000
3.500	-17.500000
3.510	-17.500000
3.520	-17.500000
3.530	-17.500000
3.540	-17.500000
3.550	-17.500000
3.560	-17.500000
3.570	-7.500000
3.580	0.000000
3.590	10.000000
3.600	10.000000
3.610	10.000000
3.620	12.500000
3.630	30.000000
3.640	30.000000
3.650	30.000000
3.660	30.000000
3.670	30.000000
3.680	30.000000
3.690	30.000000
3.700	30.000000
3.710	30.000000
3.720	30.000000
3.730	30.000000
3.740	30.000000
3.750	30.000000
3.760	30.000000
3.770	30.000000
3.780	30.000000
3.790	30.000000
3.800	30.000000
3.810	30.000000
3.820	30.000000
3.830	30.000000
3.840	30.000000
3.850	30.000000
3.860	30.000000
3.870	30.000000
3.880	30.000000
3.890	30.000000
3.900	30.000000
3.910	30.000000
3.920	30.000000
3.930	30.000000
3.940	30.000000
3.950	30.000000
3.960	30.000000
3.970	30.000000
3.980	30.000000
3.990	30.000000
4.000	30.000000
4.010	30.000000
4.020	30.000000
4.030	30.000000
4.040	30.000000
4.050	30.000000
4.060	30.000000
4.070	30.000000
4.080	30.000000
4.090	30.000000
4.100	30.000000
4.110	30.000000
4.120	30.000000
4.130	30.000000
4.140	40.000000
4.150	47.500000
4.160	47.500000
4.170	47.500000
4.180	47.500000
4.190	47.500000
4.200	47.500000
4.210	47.500000
4.220	47.500000
4.230	52.500000
4.240	67.500000
4.250	67.500000
4.260	67.500000
4.270	67.500000
4.280	67.500000
4.290	67.500000
4.300	67.500000
4.310	67.500000
4.320	67.500000
4.330	67.500000
4.340	67.500000
4.350	67.500000
4.360	67.500000
4.370	67.500000
4.380	67.500000
4.390	67.500000
4.400	67.500000
4.410	67.500000
4.420	67.500000
4.430	67.500000
4.440	67.500000
4.450	67.500000
4.460	67.500000
4.470	57.500000
4.480	47.500000
4.490	47.500000
4.500	42.500000
4.510	42.500000
4.520	42.500000
4.530	42.500000
4.540	35.000000
4.550	35.000000
4.560	35.000000
4.570	35.000000
4.580	35.000000
4.590	35.000000
4.600	35.000000
4.610	35.000000
4.620	35.000000
4.630	35.000000
4.640	35.000000
4.650	35.000000
4.660	32.500000
4.670	20.000000
4.680	11.250000
4.690	10.000000
4.700	10.000000
4.710	10.000000
4.720	10.000000
4.730	10.000000
4.740	10.000000
4.750	10.000000
4.760	10.000000
4.770	10.000000
4.780	10.000000
4.790	10.000000
4.800	10.000000
4.810	10.000000
4.820	10.000000
4.830	10.000000
4.840	10.000000
4.850	10.000000
4.860	10.000000
4.870	10.000000
4.880	10.000000
4.890	10.000000
4.900	10.000000
4.910	10.000000
4.920	10.000000
4.930	6.250000
4.940	6.250000
4.950	6.250000
4.960	0.000000
