# time_in_ns	dG_in_kT
0.000	0.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	10.000000
0.050	10.000000
0.060	10.000000
0.070	10.000000
0.080	10.000000
0.090	10.000000
0.100	10.000000
0.110	10.000000
0.120	10.000000
0.130	10.000000
0.140	10.000000
0.150	10.000000
0.160	10.000000
0.170	10.000000
0.180	10.000000
0.190	-20.000000
0.200	-120.000000
0.210	-140.000000
0.220	-140.000000
0.230	-140.000000
0.240	-140.000000
0.250	-140.000000
0.260	-140.000000
0.270	-140.000000
0.280	-140.000000
0.290	-140.000000
0.300	-140.000000
0.310	-140.000000
0.320	-130.000000
0.330	-70.000000
0.340	-70.000000
0.350	-70.000000
0.360	-70.000000
0.370	-40.000000
0.380	-20.000000
0.390	-20.000000
0.400	-20.000000
0.410	-20.000000
0.420	-20.000000
0.430	-20.000000
0.440	-20.000000
0.450	-20.000000
0.460	-20.000000
0.470	-20.000000
0.480	-20.000000
0.490	-20.000000
0.500	-20.000000
0.510	-20.000000
0.520	-20.000000
0.530	-20.000000
0.540	-20.000000
0.550	-50.000000
0.560	-90.000000
0.570	-110.000000
0.580	-110.000000
0.590	-110.000000
0.600	-110.000000
0.610	-110.000000
0.620	-110.000000
0.630	-110.000000
0.640	-110.000000
0.650	-110.000000
0.660	-110.000000
0.670	-110.000000
0.680	-110.000000
0.690	-110.000000
0.700	-110.000000
0.710	-110.000000
0.720	-110.000000
0.730	-110.000000
0.740	-110.000000
0.750	-110.000000
0.760	-110.000000
0.770	-110.000000
0.780	-110.000000
0.790	-110.000000
0.800	-110.000000
0.810	-110.000000
0.820	-110.000000
0.830	-110.000000
0.840	-110.000000
0.850	-110.000000
0.860	-110.000000
0.870	-110.000000
0.880	-110.000000
0.890	-110.000000
0.900	-110.000000
0.910	-110.000000
0.920	-110.000000
0.930	-100.000000
0.940	-70.000000
0.950	-70.000000
0.960	-70.000000
0.970	-70.000000
0.980	-70.000000
0.990	-70.000000
1.000	-70.000000
1.010	-70.000000
1.020	-70.000000
1.030	-70.000000
1.040	-70.000000
1.050	-70.000000
1.060	-70.000000
1.070	-70.000000
1.080	-70.000000
1.090	-70.000000
1.100	-40.000000
1.110	-25.000000
1.120	-5.000000
1.130	-5.000000
1.140	-5.000000
1.150	10.000000
1.160	10.000000
1.170	10.000000
1.180	10.000000
1.190	10.000000
1.200	10.000000
1.210	10.000000
1.220	10.000000
1.230	10.000000
1.240	10.000000
1.250	10.000000
1.260	10.000000
1.270	40.000000
1.280	40.000000
1.290	40.000000
1.300	40.000000
1.310	60.000000
1.320	60.000000
1.330	60.000000
1.340	60.000000
1.350	60.000000
1.360	60.000000
1.370	60.000000
1.380	60.000000
1.390	60.000000
1.400	60.000000
1.410	60.000000
1.420	60.000000
1.430	60.000000
1.440	60.000000
1.450	60.000000
1.460	60.000000
1.470	60.000000
1.480	60.000000
1.490	65.000000
1.500	90.000000
1.510	110.000000
1.520	110.000000
1.530	110.000000
1.540	110.000000
1.550	110.000000
1.560	110.000000
1.570	110.000000
1.580	110.000000
1.590	110.000000
1.600	110.000000
1.610	110.000000
1.620	110.000000
1.630	110.000000
1.640	110.000000
1.650	110.000000
1.660	110.000000
1.670	110.000000
1.680	110.000000
1.690	110.000000
1.700	110.000000
1.710	110.000000
1.720	110.000000
1.730	110.000000
1.740	110.000000
1.750	110.000000
1.760	110.000000
1.770	110.000000
1.780	110.000000
1.790	110.000000
1.800	110.000000
1.810	110.000000
1.820	110.000000
1.830	110.000000
1.840	85.000000
1.850	65.000000
1.860	65.000000
1.870	50.000000
1.880	45.000000
1.890	45.000000
1.900	45.000000
1.910	45.000000
1.920	45.000000
1.930	45.000000
1.940	45.000000
1.950	45.000000
1.960	45.000000
1.970	45.000000
1.980	45.000000
1.990	45.000000
2.000	45.000000
2.010	45.000000
2.020	45.000000
2.030	45.000000
2.040	45.000000
2.050	45.000000
2.060	45.000000
2.070	45.000000
2.080	45.000000
2.090	70.000000
2.100	70.000000
2.110	85.000000
2.120	115.000000
2.130	125.000000
2.140	125.000000
2.150	125.000000
2.160	125.000000
2.170	125.000000
2.180	125.000000
2.190	125.000000
2.200	125.000000
2.210	125.000000
2.220	125.000000
2.230	125.000000
2.240	125.000000
2.250	125.000000
2.260	125.000000
2.270	125.000000
2.280	125.000000
2.290	125.000000
2.300	125.000000
2.310	125.000000
2.320	125.000000
2.330	125.000000
2.340	125.000000
2.350	125.000000
2.360	125.000000
2.370	125.000000
2.380	125.000000
2.390	125.000000
2.400	125.000000
2.410	125.000000
2.420	125.000000
2.430	125.000000
2.440	125.000000
2.450	125.000000
2.460	125.000000
2.470	125.000000
2.480	125.000000
2.490	125.000000
2.500	100.000000
2.510	70.000000
2.520	70.000000
2.530	70.000000
2.540	55.000000
2.550	55.000000
2.560	55.000000
2.570	55.000000
2.580	55.000000
