# time_in_ns	dG_in_kT
0.000	0.000000
0.010	20.000000
0.020	20.000000
0.030	20.000000
0.040	20.000000
0.050	20.000000
0.060	20.000000
0.070	20.000000
0.080	20.000000
0.090	20.000000
0.100	20.000000
0.110	20.000000
0.120	20.000000
0.130	20.000000
0.140	20.000000
0.150	20.000000
0.160	20.000000
0.170	20.000000
0.180	20.000000
0.190	20.000000
0.200	-30.000000
0.210	-30.000000
0.220	-30.000000
0.230	-30.000000
0.240	-30.000000
0.250	-30.000000
0.260	-30.000000
0.270	-30.000000
0.280	-90.000000
0.290	-90.000000
0.300	-110.000000
0.310	-110.000000
0.320	-110.000000
0.330	-110.000000
0.340	-110.000000
0.350	-110.000000
0.360	-110.000000
0.370	-110.000000
0.380	-110.000000
0.390	-110.000000
0.400	-110.000000
0.410	-110.000000
0.420	-110.000000
0.430	-110.000000
0.440	-110.000000
0.450	-110.000000
0.460	-110.000000
0.470	-110.000000
0.480	-110.000000
0.490	-110.000000
0.500	-110.000000
0.510	-110.000000
0.520	-110.000000
0.530	-110.000000
0.540	-110.000000
0.550	-110.000000
0.560	-110.000000
0.570	-110.000000
0.580	-110.000000
0.590	-110.000000
0.600	-110.000000
0.610	-110.000000
0.620	-110.000000
0.630	-110.000000
0.640	-70.000000
0.650	-30.000000
0.660	-30.000000
0.670	-30.000000
0.680	-30.000000
0.690	-30.000000
0.700	-10.000000
0.710	0.000000
0.720	15.000000
0.730	35.000000
0.740	50.000000
0.750	50.000000
0.760	50.000000
0.770	50.000000
0.780	50.000000
0.790	50.000000
0.800	50.000000
0.810	50.000000
0.820	50.000000
0.830	50.000000
0.840	50.000000
0.850	50.000000
0.860	50.000000
0.870	50.000000
0.880	50.000000
0.890	50.000000
0.900	50.000000
0.910	50.000000
0.920	50.000000
0.930	50.000000
0.940	50.000000
0.950	50.000000
0.960	50.000000
0.970	50.000000
0.980	50.000000
0.990	50.000000
1.000	50.000000
1.010	30.000000
1.020	15.000000
1.030	5.000000
1.040	5.000000
1.050	5.000000
1.060	5.000000
1.070	5.000000
1.080	5.000000
1.090	5.000000
1.100	5.000000
1.110	5.000000
1.120	5.000000
1.130	5.000000
1.140	5.000000
1.150	5.000000
1.160	5.000000
1.170	5.000000
1.180	5.000000
1.190	5.000000
1.200	5.000000
1.210	5.000000
1.220	5.000000
1.230	5.000000
1.240	5.000000
1.250	0.000000
1.260	-20.000000
1.270	-20.000000
1.280	-40.000000
1.290	-40.000000
1.300	-40.000000
1.310	-55.000000
1.320	-55.000000
1.330	-55.000000
1.340	-55.000000
1.350	-55.000000
1.360	-55.000000
1.370	-55.000000
1.380	-55.000000
1.390	-55.000000
1.400	-55.000000
1.410	-55.000000
1.420	-55.000000
1.430	-55.000000
1.440	-55.000000
1.450	-55.000000
1.460	-35.000000
1.470	-35.000000
1.480	-25.000000
1.490	-10.000000
1.500	-10.000000
1.510	-10.000000
1.520	-10.000000
1.530	-10.000000
1.540	-10.000000
1.550	-10.000000
1.560	-10.000000
1.570	-10.000000
1.580	-10.000000
1.590	-10.000000
1.600	-10.000000
1.610	-10.000000
1.620	-10.000000
1.630	-10.000000
1.640	-10.000000
1.650	-10.000000
1.660	-10.000000
1.670	-10.000000
1.680	-10.000000
1.690	0.000000
1.700	2.500000
1.710	12.500000
1.720	12.500000
1.730	12.500000
1.740	12.500000
1.750	15.000000
1.760	15.000000
1.770	15.000000
1.780	15.000000
1.790	15.000000
1.800	15.000000
1.810	15.000000
1.820	15.000000
1.830	15.000000
1.840	32.500000
1.850	45.000000
1.860	52.500000
1.870	52.500000
1.880	52.500000
1.890	52.500000
1.900	52.500000
1.910	52.500000
1.920	52.500000
1.930	52.500000
1.940	52.500000
1.950	52.500000
1.960	52.500000
1.970	52.500000
1.980	52.500000
1.990	52.500000
2.000	52.500000
2.010	52.500000
2.020	52.500000
2.030	52.500000
2.040	52.500000
2.050	52.500000
2.060	52.500000
2.070	52.500000
2.080	52.500000
2.090	52.500000
2.100	52.500000
2.110	52.500000
2.120	52.500000
2.130	52.500000
2.140	52.500000
2.150	52.500000
2.160	52.500000
2.170	52.500000
2.180	52.500000
2.190	40.000000
2.200	22.500000
2.210	22.500000
2.220	22.500000
2.230	22.500000
2.240	22.500000
2.250	15.000000
2.260	12.500000
2.270	12.500000
2.280	5.000000
2.290	0.000000
2.300	0.000000
2.310	0.000000
2.320	0.000000
2.330	0.000000
2.340	0.000000
2.350	0.000000
2.360	0.000000
2.370	0.000000
2.380	0.000000
2.390	0.000000
2.400	0.000000
2.410	0.000000
2.420	0.000000
2.430	0.000000
2.440	0.000000
2.450	0.000000
2.460	-10.000000
2.470	-15.000000
2.480	-15.000000
2.490	-15.000000
2.500	-15.000000
2.510	-15.000000
2.520	-15.000000
2.530	-15.000000
2.540	-15.000000
2.550	-15.000000
2.560	-15.000000
2.570	-15.000000
2.580	-15.000000
2.590	-15.000000
2.600	-15.000000
2.610	-15.000000
2.620	-15.000000
2.630	-15.000000
2.640	-15.000000
2.650	-15.000000
2.660	-7.500000
2.670	0.000000
2.680	0.000000
2.690	0.000000
2.700	0.000000
2.710	7.500000
2.720	22.500000
2.730	22.500000
2.740	22.500000
2.750	22.500000
2.760	22.500000
2.770	22.500000
2.780	22.500000
2.790	22.500000
2.800	22.500000
2.810	22.500000
2.820	22.500000
2.830	22.500000
2.840	22.500000
2.850	22.500000
2.860	22.500000
2.870	22.500000
2.880	22.500000
2.890	37.500000
2.900	37.500000
2.910	37.500000
2.920	37.500000
2.930	37.500000
2.940	37.500000
2.950	37.500000
2.960	37.500000
2.970	37.500000
2.980	37.500000
2.990	37.500000
3.000	37.500000
3.010	37.500000
3.020	37.500000
3.030	37.500000
3.040	37.500000
3.050	37.500000
3.060	37.500000
3.070	37.500000
3.080	37.500000
3.090	37.500000
3.100	37.500000
3.110	37.500000
3.120	37.500000
3.130	37.500000
3.140	37.500000
3.150	37.500000
3.160	37.500000
3.170	37.500000
3.180	37.500000
3.190	27.500000
3.200	27.500000
3.210	27.500000
3.220	27.500000
3.230	27.500000
3.240	22.500000
3.250	10.000000
3.260	10.000000
3.270	10.000000
3.280	10.000000
3.290	10.000000
3.300	10.000000
3.310	10.000000
3.320	10.000000
3.330	10.000000
3.340	10.000000
3.350	10.000000
3.360	10.000000
3.370	10.000000
3.380	10.000000
3.390	10.000000
3.400	10.000000
3.410	-2.500000
3.420	-10.000000
3.430	-22.500000
3.440	-27.500000
3.450	-27.500000
3.460	-27.500000
3.470	-27.500000
3.480	-27.500000
3.490	-27.500000
3.500	-27.500000
3.510	-27.500000
3.520	-27.500000
3.530	-27.500000
3.540	-27.500000
3.550	-27.500000
3.560	-27.500000
3.570	-27.500000
3.580	-27.500000
3.590	-27.500000
3.600	-27.500000
3.610	-27.500000
3.620	-27.500000
3.630	-27.500000
3.640	-27.500000
3.650	-27.500000
3.660	-27.500000
3.670	-27.500000
3.680	-27.500000
3.690	-27.500000
3.700	-27.500000
3.710	-27.500000
3.720	-27.500000
3.730	-27.500000
3.740	-27.500000
3.750	-27.500000
3.760	-27.500000
3.770	-27.500000
3.780	-27.500000
3.790	-27.500000
3.800	-20.000000
3.810	-15.000000
3.820	-15.000000
3.830	-11.250000
3.840	-11.250000
3.850	-3.750000
3.860	0.000000
3.870	2.500000
3.880	2.500000
3.890	2.500000
3.900	2.500000
3.910	2.500000
3.920	2.500000
3.930	2.500000
3.940	3.750000
3.950	12.500000
3.960	12.500000
3.970	12.500000
3.980	12.500000
3.990	12.500000
4.000	12.500000
4.010	12.500000
4.020	15.000000
4.030	23.750000
4.040	26.250000
4.050	26.250000
4.060	26.250000
4.070	26.250000
4.080	26.250000
4.090	26.250000
4.100	26.250000
4.110	26.250000
4.120	26.250000
4.130	26.250000
4.140	26.250000
4.150	26.250000
4.160	26.250000
4.170	26.250000
4.180	26.250000
4.190	26.250000
4.200	26.250000
4.210	26.250000
4.220	26.250000
4.230	26.250000
4.240	26.250000
4.250	26.250000
4.260	26.250000
4.270	20.000000
4.280	18.750000
4.290	15.000000
4.300	15.000000
4.310	15.000000
4.320	15.000000
4.330	15.000000
4.340	15.000000
4.350	15.000000
4.360	15.000000
4.370	15.000000
4.380	15.000000
4.390	15.000000
4.400	15.000000
4.410	15.000000
4.420	11.250000
4.430	2.500000
4.440	-3.750000
4.450	-3.750000
4.460	-3.750000
4.470	-3.750000
4.480	-3.750000
4.490	-3.750000
4.500	-3.750000
4.510	-3.750000
4.520	-3.750000
4.530	-3.750000
4.540	-3.750000
4.550	-3.750000
4.560	-3.750000
4.570	-3.750000
4.580	-3.750000
4.590	-3.750000
4.600	-3.750000
4.610	-3.750000
4.620	-3.750000
4.630	-3.750000
4.640	-3.750000
4.650	-3.750000
4.660	-3.750000
4.670	-3.750000
4.680	-3.750000
4.690	-3.750000
4.700	-3.750000
4.710	-3.750000
4.720	-3.750000
4.730	-3.750000
4.740	-3.750000
4.750	-3.750000
4.760	-3.750000
4.770	-3.750000
4.780	-3.750000
4.790	-3.750000
4.800	-3.750000
4.810	-3.750000
4.820	-3.750000
4.830	-3.750000
4.840	-3.750000
4.850	-3.750000
4.860	-3.750000
4.870	-3.750000
4.880	-3.750000
4.890	-3.750000
4.900	-3.750000
4.910	-3.750000
